name,min megahertz,max megahertz,min megabytes,max megabytes,min megatexels,max megatexels,VendorID,MinDeviceID,MaxDeviceID,Unsupported,Laptop,m_nDriverVersion_BuildHigh,m_nDriverVersion_BuildLow,m_nDriverVersion_Vista_BuildHigh,m_nDriverVersion_Vista_BuildLow,DefaultRes,MaxDxLevel,DxLevel,MakeMeLast,CentroidHack,NoUserClipPlanes,ConVar.mat_antialias,ConVar.r_fastzreject,ConVar.mat_reduceparticles,ConVar.mat_reducefillrate,ConVar.mat_forceaniso,ConVar.mat_picmip,ConVar.mat_slopescaledepthbias_decal,ConVar.mat_slopescaledepthbias_normal,ConVar.mat_depthbias_decal,ConVar.mat_depthbias_normal,ConVar.mat_trilinear,ConVar.mat_forcehardwaresync,ConVar.mat_specular,ConVar.mat_parallaxmap,ConVar.r_shadowrendertotexture,ConVar.r_waterforceexpensive,ConVar.r_waterforcereflectentities,ConVar.r_rootlod,ConVar.mat_vsync,ConVar.mat_bumpmap,ConVar.r_screenfademinsize,ConVar.r_screenfademaxsize,ConVar.mat_softwarelighting,ConVar.dsp_off,ConVar.dsp_slow_cpu,ConVar.r_shadows,ConVar.r_drawdetailprops,ConVar.r_drawmodeldecals,ConVar.r_drawflecks,ConVar.props_break_max_pieces,ConVar.r_decal_cullsize,ConVar.sv_alternateticks,ConVar.r_dynamic,ConVar.cl_ejectbrass,ConVar.cl_detaildist,ConVar.cl_detailfade,ConVar.r_dopixelvisibility,ConVar.r_VehicleViewDampen,ConVar.mat_forcemanagedtextureintohardware,ConVar.mat_hdr_level,ConVar.r_overlayfademin,ConVar.r_overlayfademax,ConVar.mat_colorcorrection,ConVar.mat_disable_ps_patch,ConVar.mat_motion_blur_enabled,ConVar.r_flashlightdepthtexture,ConVar.mat_disablehwmorph,ConVar.r_portal_stencil_depth,DisableShaderOptimizations
50,,,,,,,,,,1,,,,,,640,50,50,,0,0,0,0,,0,1,0,-0.5,0,-262144,0,0,1,1,0,0,0,0,1,0,0,200,300,1,1,1,0,0,0,0,2,15,1,0,0,0,0,1,,0,0,,,0,,0,0,,1,
60,,,,,,,,,,1,,,,,,640,60,60,,0,0,0,0,,0,1,0,-0.5,0,-262144,0,0,1,1,0,0,0,0,1,0,0,200,300,1,1,1,0,0,0,0,2,15,1,0,0,0,0,1,,0,0,,,0,,0,0,,1,
70,,,,,,,,,,,,,,,,640,70,70,,0,0,0,0,,0,1,0,-0.5,0,-262144,0,0,1,1,0,0,0,0,1,1,0,150,250,1,0,1,1,0,0,0,2,15,1,1,0,0,0,1,,0,0,384,512,0,,0,0,,1,
80,,,,,,,,,,,,,,,,800,80,80,,0,0,0,0,,0,1,0,-0.5,0,-262144,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,-1,5,1,1,1,1200,400,1,,0,0,1000,1200,0,,0,0,,1,
81,,,,,,,,,,,,,,,,1024,81,81,,0,0,0,0,,0,1,0,-0.5,0,-262144,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,-1,5,0,1,1,1200,400,1,,0,0,1100,1350,0,,0,0,,1,
90,,,,,,,,,,,,,,,,1024,90,90,,0,0,0,0,,0,1,0,-0.5,0,-262144,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,-1,5,0,1,1,1200,400,1,,0,2,1750,2000,1,,0,0,,,
95,,,,,,,,,,,,,,,,1024,95,95,,0,0,0,0,,0,1,0,-0.5,0,-262144,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,-1,5,0,1,1,1200,400,1,,0,2,1750,2000,1,,0,1,0,,
98,,,,,,,,,,,,,,,,640,98,98,,0,0,0,0,,0,8,0,-0.5,0,-262144,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,-1,5,0,1,1,1200,400,1,,0,2,1750,2000,1,,0,1,,,
AMD,0,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,0,,,,,,,,,,,
Intel,0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,0,,,,,,,,,,,
memory [0-250),,,0,270,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
memory [256-512),,,270,550,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vid mem [0-128),,,,,0,140,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vid mem [128-256),,,,,140,300,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vid mem [256-infinity),,,,,300,65535,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI Unknown,,,,,,,0x1002,0x0000,0xffff,,,,,,,,,,1,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
AMD Radeon HD 6970M,,,,,,,0x1002,0x6720,0x6720,,,,,,,2560,,,,,,4,,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
AMD Radeon HD 6770M,,,,,,,0x1002,0x6740,0x6740,,,,,,,1920,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
AMD Radeon HD 6750M,,,,,,,0x1002,0x6741,0x6741,,,,,,,1920,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
AMD Radeon HD 6490M,,,,,,,0x1002,0x6760,0x6760,,,,,,,1440,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
ATI Radeon X3000,,,,,,,0x1002,0x6880,0x6880,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon X3000,,,,,,,0x1002,0x6888,0x6889,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon X3000,,,,,,,0x1002,0x6890,0x6890,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon HD 5870,,,,,,,0x1002,0x6898,0x6898,,,,,,,1400,,,,,,4,,,,8,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
ATI Radeon X3000,,,,,,,0x1002,0x6899,0x6899,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon X3000,,,,,,,0x1002,0x689c,0x689d,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon X3000,,,,,,,0x1002,0x68a0,0x68a1,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon HD 5750,,,,,,,0x1002,0x68a8,0x68a8,,,,,,,1400,,,,,,4,,,,8,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
ATI Radeon X3000,,,,,,,0x1002,0x68a9,0x68a9,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon X3000,,,,,,,0x1002,0x68b0,0x68b0,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon HD 5750,,,,,,,0x1002,0x68b1,0x68b1,,,,,,,1400,,,,,,4,,,,8,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
ATI Radeon HD 5750 ,,,,,,,0x1002,0x68b8,0x68b9,,,,,,,1920,,,,,,4,,,,8,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
ATI Radeon X3000,,,,,,,0x1002,0x68be,0x68be,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon HD 5670,,,,,,,0x1002,0x68c0,0x68c0,,,,,,,1400,,,,,,4,,,,8,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
ATI Radeon X3000,,,,,,,0x1002,0x68c1,0x68c1,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon X3000,,,,,,,0x1002,0x68c8,0x68c9,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon HD 5670,,,,,,,0x1002,0x68d0,0x68d0,,,,,,,1400,,,,,,4,,,,8,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
ATI Radeon X3000,,,,,,,0x1002,0x68d1,0x68d1,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon X3000,,,,,,,0x1002,0x68d8,0x68d9,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon X3000,,,,,,,0x1002,0x68de,0x68de,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon X3000,,,,,,,0x1002,0x68e0,0x68e1,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon X3000,,,,,,,0x1002,0x68e8,0x68e9,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon X3000,,,,,,,0x1002,0x68f0,0x68f1,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon X3000,,,,,,,0x1002,0x68f8,0x68f9,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon X3000,,,,,,,0x1002,0x68fe,0x68fe,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon X1000,,,,,,,0x1002,0x7109,0x7109,,,,,,,800,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon X1000,,,,,,,0x1002,0x7142,0x7142,,,,,,,800,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon 1300,,,,,,,0x1002,0x7146,0x7146,,,,,,,800,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon 1300,,,,,,,0x1002,0x7187,0x7187,,,,,,,800,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon X1000,,,,,,,0x1002,0x71c0,0x71c0,,,,,,,800,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon 1600,,,,,,,0x1002,0x71c5,0x71c5,,,,,,,800,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon X1000,,,,,,,0x1002,0x71de,0x71de,,,,,,,800,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon X1000,,,,,,,0x1002,0x7210,0x7210,,,,,,,800,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon X1000,,,,,,,0x1002,0x7240,0x7240,,,,,,,800,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon 1900,,,,,,,0x1002,0x7249,0x7249,,,,,,,800,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon X1000,,,,,,,0x1002,0x7291,0x7291,,,,,,,800,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon X2000,,,,,,,0x1002,0x9400,0x9403,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon HD 4870,,,,,,,0x1002,0x9440,0x9440,,,,,,,1400,,,,,,4,,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
ATI Radeon X2000,,,,,,,0x1002,0x9442,0x9442,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon HD 4850,,,,,,,0x1002,0x944a,0x944a,,,,,,,1280,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
ATI Radeon X2000,,,,,,,0x1002,0x945a,0x945a,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon HD 4670,,,,,,,0x1002,0x9480,0x9480,,,,,,,1400,,,,,,2,,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
ATI Radeon HD 4670,,,,,,,0x1002,0x9488,0x9488,,,,,,,1400,,,,,,2,,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
ATI Radeon 4600,,,,,,,0x1002,0x9490,0x9490,,,,,,,1400,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,
ATI Radeon X2000,,,,,,,0x1002,0x949e,0x949e,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon X2000,,,,,,,0x1002,0x94a0,0x94a0,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon HD 2400,,,,,,,0x1002,0x94c8,0x94c9,,,,,,,1280,,,,,,2,,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon X2000,,,,,,,0x1002,0x9500,0x9500,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon HD 3870,,,,,,,0x1002,0x9501,0x9501,,,,,,,1400,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
ATI Radeon X2000,,,,,,,0x1002,0x9504,0x9507,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon 4500,,,,,,,0x1002,0x9540,0x9540,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,
ATI Radeon X2000,,,,,,,0x1002,0x9540,0x9541,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon X2000,,,,,,,0x1002,0x954e,0x954f,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon X2000,,,,,,,0x1002,0x9552,0x9552,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon 4500,,,,,,,0x1002,0x9553,0x9553,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,
ATI Radeon X2000,,,,,,,0x1002,0x9581,0x9581,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon HD 2600 Pro,,,,,,,0x1002,0x9583,0x9583,,,,,,,1280,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon HD 2600,,,,,,,0x1002,0x9588,0x9588,,,,,,,1280,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon X2000,,,,,,,0x1002,0x9591,0x9591,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon X2000,,,,,,,0x1002,0x9593,0x9593,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
ATI Radeon X2000,,,,,,,0x1002,0x9598,0x9599,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
NVIDIA Unknown,,,,,,,0x10de,0x0000,0xffff,,,,,,,,,,1,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
NVIDIA Quadro FX 4500,,,,,,,0x10de,0x009d,0x009d,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
NVIDIA GeForce 8800 GTS,,,,,,,0x10de,0x0193,0x0193,,,,,,,1280,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
NVIDIA Quadro FX 5600,,,,,,,0x10de,0x019d,0x019d,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
NVIDIA GeForce 7600 GT,,,,,,,0x10de,0x0391,0x0391,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
NVIDIA GeForce 7300 GT,,,,,,,0x10de,0x0393,0x0393,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
NVIDIA GeForce 7300 GT,,,,,,,0x10de,0x0395,0x0395,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
NVIDIA GeForce 8600M GT,,,,,,,0x10de,0x0407,0x0407,,,,,,,1280,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
NVIDIA GeForce GTX 260,,,,,,,0x10de,0x05e2,0x05e2,,,,,,,1280,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
NVIDIA GeForce GTX 285,,,,,,,0x10de,0x05e3,0x05e3,,,,,,,1280,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
NVIDIA GeForce 8800 GT,,,,,,,0x10de,0x0602,0x0602,,,,,,,1280,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
NVIDIA GeForce 8800M GTS,,,,,,,0x10de,0x0609,0x0609,,,,,,,1280,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
NVIDIA GeForce 8800 GT,,,,,,,0x10de,0x0611,0x0611,,,,,,,1280,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
NVIDIA GeForce GT 130,,,,,,,0x10de,0x062e,0x062e,,,,,,,1280,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
NVIDIA GeForce GT 120,,,,,,,0x10de,0x0640,0x0640,,,,,,,1280,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
NVIDIA GeForce 9600M GT,,,,,,,0x10de,0x0647,0x0647,,,,,,,1280,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,0,,,
NVIDIA GeForce GT 120,,,,,,,0x10de,0x0655,0x0656,,,,,,,1280,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
NVIDIA GeForce 9400,,,,,,,0x10de,0x0861,0x0861,,,,,,,800,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
NVIDIA GeForce 9400M,,,,,,,0x10de,0x0863,0x0863,,,,,,,800,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
NVIDIA GeForce 9400M,,,,,,,0x10de,0x0866,0x0866,,,,,,,800,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
NVIDIA GeForce 9500 GT,,,,,,,0x10de,0x0867,0x0867,,,,,,,800,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
NVIDIA GeForce 9400,,,,,,,0x10de,0x0869,0x0869,,,,,,,800,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
NVIDIA GeForce 9400M,,,,,,,0x10de,0x0870,0x0870,,,,,,,800,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,
NVIDIA Quadro FX 4800,,,,,,,0x10de,0x05fe,0x05fe,,,,,,,800,,,,,,2,,1,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,0,,,
NVIDIA GeForce GT 330M,,,,,,,0x10de,0x0a29,0x0a29,,,,,,,1280,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,0,,,
NVIDIA GeForce 320M,,,,,,,0x10de,0x08a0,0x08a0,,,,,,,1280,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,0,,,
NVIDIA GeForce 320M,,,,,,,0x10de,0x08a4,0x08a4,,,,,,,1280,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,0,,,
Intel HD Graphics 3000,,,,,,,0x8086,0x0116,0x0116,,,,,,,1280,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,0,,,
Intel HD Graphics 3000,,,,,,,0x8086,0x0126,0x0126,,,,,,,1280,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,0,,,
